id,product_id,feature,value
119,56,Green Leaf Certified,null
120,57,Lifetime Guarantee,null
121,58,Satisfaction Guaranteed,null
122,58,Material,Control Support Bridge
123,58,Non-GMO,null
124,58,Non-GMO,null
125,59,Satisfaction Guaranteed,null
126,60,Fabric,Wool
127,60,Frame,DuraResin
128,61,Green Leaf Certified,null
129,61,Green Leaf Certified,null
130,62,Non-GMO,null
131,62,Non-GMO,null
132,62,Material,FullSupport Hybrid Compound
133,63,Cut,Skinny
134,63,Lens,Ultrasheen Basic
135,64,Fabric,"95% Cotton, 5% Elastic"
136,65,Satisfaction Guaranteed,null
137,65,Lifetime Guarantee,null
138,65,Lifetime Guarantee,null
139,65,Stitching,Cross Stitch
140,66,Material,FullSupport Hybrid Compound
141,66,Non-GMO,null
142,67,Non-GMO,null
143,67,Cut,Striaght
144,67,Frame,AllLight Composition Resin
145,67,Green Leaf Certified,null
146,68,Sustainably Sourced,null
147,68,Stitching,Cross Stitch
148,68,Sustainably Sourced,null
149,69,Buttons,Brass
150,69,5 Year Warranty,null
151,70,Lens,Ultrasheen Silver
152,71,Satisfaction Guaranteed,null
153,72,Sustainably Sourced,null
154,72,Fair Trade Certified,null
155,72,Non-GMO,null
156,73,Non-GMO,null
157,73,Buttons,Brass
158,74,Lens,Ultrasheen Silver
159,74,Non-GMO,null
160,74,Green Leaf Certified,null
161,75,Frame,AllLight Composition Resin
162,76,Non-GMO,null
163,76,Non-GMO,null
164,76,Lens,Ultrasheen Silver
165,76,Sustainably Sourced,null
166,77,Buttons,Ivory
167,78,Cut,Straight
168,78,Non-GMO,null
169,78,Buttons,Blue Resin
170,79,Sustainably Sourced,null
171,79,Satisfaction Guaranteed,null
172,80,Cut,Straight
173,80,Green Leaf Certified,null
174,80,Frame,DuraResin
175,81,Lens,100% UV Protective
176,82,Lens,100% UV Protective
177,82,Buttons,Black Resin
178,83,Lifetime Guarantee,null
179,83,Cut,Straight
180,83,Non-GMO,null
181,84,Material,Armor Weave
182,84,5 Year Warranty,null
183,84,Cut,Loose
184,85,Non-GMO,null
185,85,Non-GMO,null
186,85,Non-GMO,null
187,86,Buttons,Blue Resin
188,86,Cut,Loose
189,87,5 Year Warranty,null
190,87,Fabric,100% Cotton
191,88,Cut,Loose
192,88,Stitching,Double Stitch
193,88,Green Leaf Certified,null
194,88,Buttons,Ivory
195,89,Satisfaction Guaranteed,null
196,89,Cut,Straight
197,90,Fabric,Velvet
198,91,Non-GMO,null
199,92,Non-GMO,null
200,92,Lens,Ultrasheen Basic
201,93,5 Year Warranty,null
202,94,Material,Control Support Bridge
203,94,Cut,Skinny
204,95,5 Year Warranty,null
205,95,Lens,100% UV Protective
206,95,Green Leaf Certified,null
207,96,Stitching,Double Stitch
208,97,Cut,Skinny
209,97,Lifetime Guarantee,null
210,98,Satisfaction Guaranteed,null
211,98,Frame,AllLight Composition Resin
212,98,Stitching,Cross Stitch
213,99,Material,FullSupport Hybrid Compound
214,99,Stitching,Cross Stitch
215,100,Lens,Ultrasheen Basic
216,100,Buttons,White Resin
217,101,5 Year Warranty,null
218,101,Fair Trade Certified,null
219,101,Fair Trade Certified,null
220,102,Lifetime Guarantee,null
221,102,Lifetime Guarantee,null
222,103,Non-GMO,null
223,103,Fabric,100% Cotton
224,103,5 Year Warranty,null
225,103,5 Year Warranty,null
226,104,Cut,Skinny
227,104,Buttons,Ivory
228,104,Cut,Skinny
229,104,Fair Trade Certified,null
230,105,Cut,Loose
231,106,Cut,Loose
232,106,Material,Control Support Bridge
233,107,Frame,AllLight Composition Resin
234,108,Cut,Skinny
235,109,Green Leaf Certified,null
236,109,Lifetime Guarantee,null
237,110,Lens,100% UV Protective
238,111,Lens,Ultrasheen Silver
239,112,Cut,Straight
240,112,Fair Trade Certified,null
241,112,5 Year Warranty,null
242,113,Green Leaf Certified,null
243,114,Material,FullControl Skin
244,114,Green Leaf Certified,null
245,114,Non-GMO,null
246,115,Material,FullControl Skin
247,115,Fair Trade Certified,null
248,115,Satisfaction Guaranteed,null
249,116,Material,Rubber Mesh
250,116,Fair Trade Certified,null
251,117,Non-GMO,null
252,117,Fabric,Silk
253,118,Lifetime Guarantee,null
254,118,Satisfaction Guaranteed,null
255,118,Green Leaf Certified,null
256,119,Non-GMO,null
257,120,Frame,AllLight Composition Resin
258,120,Frame,AllLight Composition Resin
259,121,Lens,Ultrasheen Gold
260,121,Lens,100% UV Protective
261,122,Material,Armor Weave
262,123,Cut,Skinny
263,123,Lifetime Guarantee,null
264,123,Green Leaf Certified,null
265,124,Fabric,100% Cotton
266,124,Buttons,Ivory
267,125,Lifetime Guarantee,null
268,125,Green Leaf Certified,null
269,126,Fair Trade Certified,null
270,127,Non-GMO,null
271,127,Non-GMO,null
272,128,Buttons,Ivory
273,128,Buttons,White Resin
274,128,Green Leaf Certified,null
275,129,Fabric,Velvet
276,129,Cut,Straight
277,130,Stitching,Double Stitch
278,130,Lifetime Guarantee,null
279,130,Frame,DuraResin
280,130,Buttons,Brass
281,131,Frame,AllLight Composition Resin
282,131,Fair Trade Certified,null
283,132,Lifetime Guarantee,null
284,132,Frame,DuraResin
285,132,Lens,100% UV Protective
286,133,Stitching,Cross Stitch
287,133,Lifetime Guarantee,null
288,133,Cut,Loose
289,134,Non-GMO,null
290,134,Sustainably Sourced,null
291,135,Lens,100% UV Protective
292,135,Frame,DuraResin
293,135,Frame,AllLight Composition Resin
294,136,5 Year Warranty,null
295,136,Green Leaf Certified,null
296,137,Material,Rubber Mesh
297,138,Cut,Skinny
298,138,Non-GMO,null
299,138,Fabric,Cashmere
300,138,Buttons,Blue Resin
301,139,5 Year Warranty,null
302,139,Fabric,"95% Cotton, 5% Elastic"
303,139,Non-GMO,null
304,140,Sustainably Sourced,null
305,141,Lens,Ultrasheen Gold
306,141,Sustainably Sourced,null
307,141,Non-GMO,null
308,141,Material,FullSupport Hybrid Compound
309,142,Sustainably Sourced,null
310,142,Satisfaction Guaranteed,null
311,143,Fabric,"95% Cotton, 5% Elastic"
312,144,Material,FullControl Skin
313,144,Non-GMO,null
314,145,Satisfaction Guaranteed,null
315,145,Stitching,Double Stitch
316,145,Fair Trade Certified,null
317,145,Fabric,"95% Cotton, 5% Elastic"
318,146,Lifetime Guarantee,null
319,146,Cut,Striaght
320,147,5 Year Warranty,null
321,147,Buttons,Brass
322,147,Material,FullControl Skin
323,147,Non-GMO,null
324,148,Non-GMO,null
325,148,Frame,DuraResin
326,149,Buttons,White Resin
327,149,Green Leaf Certified,null
328,149,Fabric,Velvet
329,150,Lifetime Guarantee,null
330,150,Stitching,Cross Stitch
331,151,Sustainably Sourced,null
332,151,5 Year Warranty,null
333,151,Non-GMO,null
334,152,Cut,Skinny
335,152,Lens,Ultrasheen Gold
336,152,Non-GMO,null
337,153,Material,Rubber Mesh
338,153,Green Leaf Certified,null
339,154,Buttons,Black Resin
340,154,Lens,100% UV Protective
341,154,Non-GMO,null
342,155,Green Leaf Certified,null
343,155,Stitching,Double Stitch
344,155,Lifetime Guarantee,null
345,156,Non-GMO,null
346,156,5 Year Warranty,null
347,156,Satisfaction Guaranteed,null
348,157,Material,Rubber Mesh
349,157,5 Year Warranty,null
350,157,Satisfaction Guaranteed,null
351,158,Lens,Ultrasheen Gold
352,159,Sustainably Sourced,null
353,159,Lens,Ultrasheen Basic
354,159,Satisfaction Guaranteed,null
355,160,Green Leaf Certified,null
356,160,Stitching,Double Stitch
357,160,Satisfaction Guaranteed,null
358,161,Fair Trade Certified,null
359,162,Green Leaf Certified,null
360,162,Green Leaf Certified,null
361,162,Stitching,Cross Stitch
362,163,Cut,Loose
363,163,Fair Trade Certified,null
364,163,Lifetime Guarantee,null
365,163,Non-GMO,null
366,164,5 Year Warranty,null
367,164,Sustainably Sourced,null
368,164,5 Year Warranty,null
369,165,Material,Rubber Mesh
370,165,Cut,Striaght
371,165,Cut,Loose
372,166,Stitching,Cross Stitch
373,166,Buttons,Brass
374,167,Buttons,Ivory
375,167,Material,Control Support Bridge
376,167,Lens,Ultrasheen Basic
377,168,Sustainably Sourced,null
378,168,Cut,Loose
379,169,Non-GMO,null
380,169,Material,FullControl Skin
381,169,Cut,Skinny
382,170,Sustainably Sourced,null
383,170,Lens,Ultrasheen Basic
384,170,Lifetime Guarantee,null
385,171,Material,Armor Weave
386,171,Non-GMO,null
387,171,5 Year Warranty,null
388,172,Lifetime Guarantee,null
389,172,Satisfaction Guaranteed,null
390,173,Stitching,Double Stitch
391,174,Fabric,100% Cotton
392,175,Cut,Skinny
393,176,Cut,Loose
394,176,Non-GMO,null
395,177,5 Year Warranty,null
396,178,Lifetime Guarantee,null
397,178,Cut,Loose
398,179,Cut,Loose
399,180,Cut,Loose
400,181,5 Year Warranty,null
401,181,Lens,Ultrasheen Silver
402,182,Buttons,Black Resin
403,182,Material,Rubber Mesh
404,182,Fabric,"80% Cotton, 20% Polyester"
405,183,Cut,Striaght
406,183,5 Year Warranty,null
407,184,Cut,Striaght
408,184,Material,Armor Weave
409,185,Stitching,Double Stitch
410,185,Fabric,Canvas
411,186,Green Leaf Certified,null
412,186,Green Leaf Certified,null
413,187,Lifetime Guarantee,null
414,188,Material,Armor Weave
415,188,Non-GMO,null
416,188,Sustainably Sourced,null
417,189,5 Year Warranty,null
418,189,Satisfaction Guaranteed,null
419,189,Material,FullSupport Hybrid Compound
420,190,Stitching,Cross Stitch
421,190,Non-GMO,null
422,191,Buttons,White Resin
423,191,Sustainably Sourced,null
424,192,Lens,100% UV Protective
425,192,Sustainably Sourced,null
426,192,Lens,Ultrasheen Gold
427,193,Fabric,Velvet
428,193,Stitching,Cross Stitch
429,193,Sustainably Sourced,null
430,193,Frame,AllLight Composition Resin
431,194,Cut,Skinny
432,194,Fabric,"80% Cotton, 20% Polyester"
433,194,Non-GMO,null
434,195,Green Leaf Certified,null
435,195,Stitching,Cross Stitch
436,195,Cut,Loose
437,196,Frame,DuraResin
438,196,Cut,Striaght
439,197,5 Year Warranty,null
440,197,Lifetime Guarantee,null
441,197,Lifetime Guarantee,null
442,198,Non-GMO,null
443,198,Buttons,White Resin
444,199,Non-GMO,null
445,200,Stitching,Cross Stitch
446,200,Lens,Ultrasheen Silver
447,201,Material,Armor Weave
448,202,Lens,Ultrasheen Gold
449,202,Lens,100% UV Protective
450,203,Buttons,Brass
451,203,Sustainably Sourced,null
452,204,Lens,Ultrasheen Basic
453,204,Cut,Skinny
454,204,Lens,Ultrasheen Silver
455,205,Cut,Straight
456,205,Stitching,Double Stitch
457,206,Frame,DuraResin
458,206,Sustainably Sourced,null
459,206,Cut,Loose
460,207,Satisfaction Guaranteed,null
461,208,Sustainably Sourced,null
462,208,Non-GMO,null
463,208,5 Year Warranty,null
464,209,5 Year Warranty,null
465,209,5 Year Warranty,null
466,210,Sustainably Sourced,null
467,210,Buttons,Brass
468,211,Lifetime Guarantee,null
469,211,Fabric,100% Cotton
470,211,Frame,AllLight Composition Resin
471,212,Non-GMO,null
472,212,Stitching,Double Stitch
473,212,Material,Armor Weave
474,213,Green Leaf Certified,null
475,214,Non-GMO,null
476,214,Lens,Ultrasheen Gold
477,215,Buttons,Blue Resin
478,215,Material,FullControl Skin
479,215,5 Year Warranty,null
480,216,Lifetime Guarantee,null
481,216,5 Year Warranty,null
482,216,Buttons,Black Resin
483,217,Non-GMO,null
484,217,5 Year Warranty,null
485,218,Buttons,Black Resin
486,219,Frame,AllLight Composition Resin
487,219,Non-GMO,null
488,219,Stitching,Double Stitch
489,220,Green Leaf Certified,null
490,220,Buttons,White Resin
491,221,Stitching,Cross Stitch
492,221,Frame,AllLight Composition Resin
493,221,Fair Trade Certified,null
494,221,Material,FullControl Skin
495,222,Frame,AllLight Composition Resin
496,222,Stitching,Double Stitch
497,222,Buttons,Ivory
498,222,Buttons,Blue Resin
499,223,Fair Trade Certified,null
500,224,Green Leaf Certified,null
501,224,5 Year Warranty,null
502,225,Fair Trade Certified,null
503,226,Fair Trade Certified,null
504,227,Green Leaf Certified,null
505,227,Stitching,Double Stitch
506,227,Lifetime Guarantee,null
507,227,Lifetime Guarantee,null
508,228,Lens,100% UV Protective
509,228,Material,FullSupport Hybrid Compound
510,228,Stitching,Double Stitch
511,229,Fabric,"95% Cotton, 5% Elastic"
512,229,Non-GMO,null
513,230,Cut,Loose
514,230,Green Leaf Certified,null
515,231,5 Year Warranty,null
516,231,Material,Rubber Mesh
517,231,Fair Trade Certified,null
518,232,Material,Armor Weave
519,233,Sustainably Sourced,null
520,234,Buttons,Brass
521,234,Lifetime Guarantee,null
522,234,Buttons,Ivory
523,234,Fair Trade Certified,null
524,235,Cut,Skinny
525,235,Cut,Striaght
526,236,Cut,Loose
527,237,Buttons,Blue Resin
528,238,Cut,Striaght
529,238,Buttons,White Resin
530,238,Non-GMO,null
531,239,Fabric,Wool
532,239,Cut,Straight
533,239,Fair Trade Certified,null
534,240,Lifetime Guarantee,null
535,241,5 Year Warranty,null
536,241,Lifetime Guarantee,null
537,242,Green Leaf Certified,null
538,242,Non-GMO,null
539,242,Buttons,Blue Resin
540,243,Cut,Skinny
541,243,Cut,Straight
542,243,Buttons,Brass
543,244,Cut,Loose
544,245,Cut,Skinny
545,245,Satisfaction Guaranteed,null
546,245,Lens,100% UV Protective
547,245,Cut,Skinny
548,246,Cut,Loose
549,246,Fair Trade Certified,null
550,246,Green Leaf Certified,null
551,247,Material,FullSupport Hybrid Compound
552,248,Fair Trade Certified,null
553,248,Frame,AllLight Composition Resin
554,248,Material,FullControl Skin
555,249,Buttons,White Resin
556,249,Non-GMO,null
557,249,Lifetime Guarantee,null
558,250,Frame,AllLight Composition Resin
559,250,Lens,Ultrasheen Gold
560,251,Sustainably Sourced,null
561,252,Lifetime Guarantee,null
562,252,Stitching,Double Stitch
563,253,Material,FullSupport Hybrid Compound
564,254,Non-GMO,null
565,255,Stitching,Cross Stitch
566,256,Sustainably Sourced,null
567,256,Lifetime Guarantee,null
568,256,5 Year Warranty,null
569,256,Satisfaction Guaranteed,null
570,257,Cut,Loose
571,257,Non-GMO,null
572,257,5 Year Warranty,null
573,258,Lens,Ultrasheen Basic
574,259,Material,FullControl Skin
575,260,Buttons,White Resin
576,260,Lens,100% UV Protective
577,261,Fabric,Cashmere
578,261,Fabric,FullControlSkin
579,261,Satisfaction Guaranteed,null
580,262,Green Leaf Certified,null
581,262,Non-GMO,null
582,263,Stitching,Cross Stitch
583,263,Fair Trade Certified,null
584,264,Buttons,Brass
585,265,Lifetime Guarantee,null
586,265,Sustainably Sourced,null
587,266,Material,FullSupport Hybrid Compound
588,267,Non-GMO,null
589,267,Material,FullSupport Hybrid Compound
590,268,Frame,AllLight Composition Resin
591,268,Lifetime Guarantee,null
592,268,Non-GMO,null
593,269,Frame,DuraResin
594,270,Material,Control Support Bridge
595,270,Frame,AllLight Composition Resin
596,270,Fabric,Silk
597,270,Non-GMO,null
598,271,Sustainably Sourced,null
599,271,Material,Armor Weave
600,271,Stitching,Cross Stitch
601,272,Lifetime Guarantee,null
602,272,Non-GMO,null
603,272,Cut,Skinny
604,273,Stitching,Double Stitch
605,273,Lifetime Guarantee,null
606,273,Cut,Skinny
607,273,Cut,Skinny
608,274,Fabric,Silk
609,275,Green Leaf Certified,null
610,275,5 Year Warranty,null
611,275,Lens,Ultrasheen Gold
612,275,Sustainably Sourced,null
613,276,Cut,Skinny
614,276,Lens,Ultrasheen Basic
615,277,Non-GMO,null
616,277,Lens,100% UV Protective
617,277,Lens,100% UV Protective
618,277,5 Year Warranty,null
619,278,Buttons,Brass
620,279,Cut,Loose
621,279,Lens,100% UV Protective
622,279,Fabric,"95% Cotton, 5% Elastic"
623,279,Lens,100% UV Protective
624,280,Frame,DuraResin
625,280,Lifetime Guarantee,null
626,280,Sustainably Sourced,null
627,281,Stitching,Cross Stitch
628,282,Sustainably Sourced,null
629,282,Cut,Straight
630,283,Material,Control Support Bridge
631,283,Cut,Straight
632,284,Material,FullControl Skin
633,284,Cut,Straight
634,285,5 Year Warranty,null
635,285,5 Year Warranty,null
636,285,Cut,Skinny
637,286,Cut,Striaght
638,286,5 Year Warranty,null
639,286,Non-GMO,null
640,287,Green Leaf Certified,null
641,288,5 Year Warranty,null
642,289,Fair Trade Certified,null
643,289,Cut,Loose
644,289,Cut,Straight
645,290,Lifetime Guarantee,null
646,290,Fair Trade Certified,null
647,291,Fabric,100% Cotton
648,291,Satisfaction Guaranteed,null
649,292,Non-GMO,null
650,293,Fabric,FullControlSkin
651,294,Green Leaf Certified,null
652,295,Lens,Ultrasheen Silver
653,296,Fair Trade Certified,null
654,296,Fair Trade Certified,null
655,296,Sustainably Sourced,null
656,296,Frame,AllLight Composition Resin
657,297,Stitching,Double Stitch
658,297,Lifetime Guarantee,null
659,297,Sustainably Sourced,null
660,298,Buttons,Black Resin
661,298,5 Year Warranty,null
662,299,Non-GMO,null
663,299,Non-GMO,null
664,300,Buttons,White Resin
665,300,Lens,Ultrasheen Silver
666,300,Cut,Loose
667,300,Cut,Straight
668,301,5 Year Warranty,null
669,302,Lifetime Guarantee,null
670,303,Fair Trade Certified,null
671,303,Non-GMO,null
672,304,Lifetime Guarantee,null
673,304,Non-GMO,null
674,304,Buttons,Blue Resin
675,304,Satisfaction Guaranteed,null
676,305,Fabric,"80% Cotton, 20% Polyester"
677,306,Frame,DuraResin
678,306,5 Year Warranty,null
679,307,Sustainably Sourced,null
680,307,Buttons,Brass
681,308,Fabric,"80% Cotton, 20% Polyester"
682,308,Cut,Loose
683,308,Lifetime Guarantee,null
684,309,Lens,Ultrasheen Basic
685,310,Frame,AllLight Composition Resin
686,310,Cut,Striaght
687,310,Non-GMO,null
688,311,Green Leaf Certified,null
689,311,Cut,Loose
690,312,5 Year Warranty,null
691,312,5 Year Warranty,null
692,312,Fabric,"95% Cotton, 5% Elastic"
693,312,5 Year Warranty,null
694,313,Cut,Skinny
695,314,Lens,Ultrasheen Basic
696,314,Frame,AllLight Composition Resin
697,314,Non-GMO,null
698,314,Sustainably Sourced,null
699,315,Cut,Striaght
700,315,5 Year Warranty,null
701,315,Lifetime Guarantee,null
702,316,Non-GMO,null
703,317,Lens,Ultrasheen Basic
704,317,Sustainably Sourced,null
705,317,Lens,Ultrasheen Silver
706,318,Material,FullSupport Hybrid Compound
707,318,Sustainably Sourced,null
708,318,Lifetime Guarantee,null
709,319,Fair Trade Certified,null
710,320,Material,Armor Weave
711,320,Cut,Striaght
712,321,Non-GMO,null
713,321,Fabric,Cashmere
714,321,Sustainably Sourced,null
715,321,Lens,100% UV Protective
716,322,Green Leaf Certified,null
717,322,Stitching,Cross Stitch
718,322,Cut,Straight
719,323,Buttons,Ivory
720,323,Fair Trade Certified,null
721,324,Buttons,Black Resin
722,325,Non-GMO,null
723,325,Frame,DuraResin
724,325,Lens,100% UV Protective
725,326,Cut,Loose
726,327,Fabric,Wool
727,327,Fabric,FullControlSkin
728,328,Stitching,Double Stitch
729,328,Lifetime Guarantee,null
730,328,Frame,AllLight Composition Resin
731,328,Lens,Ultrasheen Silver
732,329,Lifetime Guarantee,null
733,329,Satisfaction Guaranteed,null
734,330,Buttons,Brass
735,330,Lens,Ultrasheen Silver
736,331,Material,Rubber Mesh
737,332,5 Year Warranty,null
738,332,Satisfaction Guaranteed,null
739,333,Lifetime Guarantee,null
740,334,Material,FullControl Skin
741,334,Cut,Striaght
742,334,Fair Trade Certified,null
743,335,5 Year Warranty,null
744,336,Lens,Ultrasheen Gold
745,336,Cut,Striaght
746,337,Frame,DuraResin
747,337,Lifetime Guarantee,null
748,338,Non-GMO,null
749,338,Sustainably Sourced,null
750,339,Lens,100% UV Protective
751,340,Lifetime Guarantee,null
752,341,Stitching,Cross Stitch
753,342,Material,FullSupport Hybrid Compound
754,342,Lens,Ultrasheen Silver
755,342,Fair Trade Certified,null
756,343,5 Year Warranty,null
757,343,Material,Control Support Bridge
758,343,Lens,Ultrasheen Gold
759,344,5 Year Warranty,null
760,345,Non-GMO,null
761,345,Satisfaction Guaranteed,null
762,345,Lens,Ultrasheen Gold
763,346,Material,Rubber Mesh
764,346,Satisfaction Guaranteed,null
765,347,Satisfaction Guaranteed,null
766,347,Fabric,100% Cotton
767,348,Satisfaction Guaranteed,null
768,348,Fair Trade Certified,null
769,349,Non-GMO,null
770,350,Green Leaf Certified,null
771,350,Non-GMO,null
772,350,Cut,Skinny
773,351,Satisfaction Guaranteed,null
774,352,Lifetime Guarantee,null
775,352,Non-GMO,null
776,352,Cut,Straight
777,352,Fair Trade Certified,null
778,353,Cut,Loose
779,353,Lifetime Guarantee,null
780,354,Cut,Skinny
781,354,5 Year Warranty,null
782,354,Material,FullSupport Hybrid Compound
783,355,Fair Trade Certified,null
784,355,Sustainably Sourced,null
785,355,Material,Armor Weave
786,356,Fair Trade Certified,null
787,357,Fabric,Cool Fit
788,357,Lens,Ultrasheen Gold
789,358,Material,Rubber Mesh
790,359,Material,Control Support Bridge
791,359,Fair Trade Certified,null
792,360,Sustainably Sourced,null
793,360,Green Leaf Certified,null
794,361,Fabric,Cashmere
795,361,Fair Trade Certified,null
796,362,Fabric,FullControlSkin
797,362,Lifetime Guarantee,null
798,363,Green Leaf Certified,null
799,363,Satisfaction Guaranteed,null
800,363,Frame,DuraResin
801,364,Lens,Ultrasheen Basic
802,364,Cut,Skinny
803,364,Cut,Skinny
804,364,Green Leaf Certified,null
805,365,Frame,DuraResin
806,365,Non-GMO,null
807,365,Satisfaction Guaranteed,null
808,366,Frame,AllLight Composition Resin
809,366,Non-GMO,null
810,367,Material,Armor Weave
811,367,Buttons,Black Resin
812,367,Cut,Skinny
813,368,Fair Trade Certified,null
814,368,5 Year Warranty,null
815,369,Fabric,Cashmere
816,369,Lens,Ultrasheen Basic
817,370,Frame,DuraResin
818,371,Satisfaction Guaranteed,null
819,372,Lens,100% UV Protective
820,372,Satisfaction Guaranteed,null
821,373,Frame,DuraResin
822,373,Material,Armor Weave
823,373,Green Leaf Certified,null
824,374,Sustainably Sourced,null
825,374,Green Leaf Certified,null
826,374,Non-GMO,null
827,375,Green Leaf Certified,null
828,375,Cut,Skinny
829,375,Frame,AllLight Composition Resin
830,375,Non-GMO,null
831,376,Cut,Striaght
832,376,Green Leaf Certified,null
833,377,Sustainably Sourced,null
834,378,Lens,Ultrasheen Silver
835,379,Frame,AllLight Composition Resin
836,379,Satisfaction Guaranteed,null
837,379,Lifetime Guarantee,null
838,380,Buttons,Black Resin
839,380,Sustainably Sourced,null
840,381,5 Year Warranty,null
841,381,Stitching,Cross Stitch
842,382,Fair Trade Certified,null
843,383,Cut,Loose
844,383,Cut,Skinny
845,383,Stitching,Cross Stitch
846,384,Green Leaf Certified,null
847,385,Green Leaf Certified,null
848,386,Cut,Skinny
849,387,Satisfaction Guaranteed,null
850,387,Non-GMO,null
851,388,Lifetime Guarantee,null
852,388,Sustainably Sourced,null
853,388,Cut,Loose
854,389,Stitching,Double Stitch
855,389,Satisfaction Guaranteed,null
856,390,Non-GMO,null
857,390,Stitching,Cross Stitch
858,390,Cut,Striaght
859,391,Satisfaction Guaranteed,null
860,391,Cut,Loose
861,392,Lens,Ultrasheen Gold
862,393,Stitching,Cross Stitch
863,393,Fair Trade Certified,null
864,393,Buttons,White Resin
865,394,5 Year Warranty,null
866,394,Non-GMO,null
867,395,Lens,Ultrasheen Basic
868,395,Cut,Striaght
869,396,Material,Armor Weave
870,396,Non-GMO,null
871,396,Cut,Straight
872,397,Satisfaction Guaranteed,null
873,397,Fair Trade Certified,null
874,398,Non-GMO,null
875,399,Non-GMO,null
876,399,Buttons,Black Resin
877,399,Lens,Ultrasheen Gold
878,400,Non-GMO,null
879,400,Non-GMO,null
880,401,Sustainably Sourced,null
881,401,Fair Trade Certified,null
882,401,Cut,Straight
883,402,Fabric,100% Cotton
884,402,Buttons,Ivory
885,403,Non-GMO,null
886,404,Material,FullControl Skin
887,404,Non-GMO,null
888,404,Cut,Skinny
889,404,Sustainably Sourced,null
890,405,Green Leaf Certified,null
891,405,Satisfaction Guaranteed,null
892,405,Fair Trade Certified,null
